カテゴリ,大分類,中分類,機能名,概要,現状,重要度,備考,追加機能フラグ
会員側機能【ユーザーサイト】,認証・登録,ログイン前,会員登録（月謝制会員）,新規会員向けオンライン登録フォーム（複数ステップ）,既存,最高,★会員側核心機能,
会員側機能【ユーザーサイト】,認証・登録,ログイン前,バーチャル会員登録,イベント・ワークショップ参加用の簡易登録,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,認証・登録,LINE連携,LINE認証・連携,LINEアカウントとの連携・通知受信設定,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,マイページ,トップ,会員トップページ,個人ダッシュボード・クイックアクセス・最新情報表示,既存,最高,★会員側核心機能,
会員側機能【ユーザーサイト】,マイページ,トップ,マイページTOP,個人情報表示・各種履歴へのアクセス・QRコード表示,既存,最高,★会員側核心機能,
会員側機能【ユーザーサイト】,マイページ,個人情報,会員情報表示,ID・氏名・会員種別・契約プラン・保有チケット・ポイント残高の表示,既存,最高,★会員側核心機能,
会員側機能【ユーザーサイト】,マイページ,個人情報,個人QRコード表示,動的生成される個人QRコード（受付・決済用）,既存,最高,2025年6月議事録重要機能,
会員側機能【ユーザーサイト】,マイページ,個人情報,個人情報編集,メールアドレス・住所・電話番号等の変更,既存,最高,★会員側核心機能,
会員側機能【ユーザーサイト】,レッスン予約,スケジュール検索,スタジオ別検索,複数スタジオから場所で絞り込んでレッスン検索,既存,最高,★会員側核心機能,
会員側機能【ユーザーサイト】,レッスン予約,スケジュール検索,日付別検索,カレンダーから日付を選択してレッスン検索,既存,最高,★会員側核心機能,
会員側機能【ユーザーサイト】,レッスン予約,スケジュール検索,レッスン一覧表示,時間・講師・ジャンル・残席数の表示,既存,最高,★会員側核心機能,
会員側機能【ユーザーサイト】,レッスン予約,スケジュール検索,スワイプ操作対応,左右スワイプでの日付切り替え（SPモバイル最適化）,既存,高,UX向上,
会員側機能【ユーザーサイト】,レッスン予約,予約処理,レッスン予約,1日最大3レッスンまでの予約制限対応,既存,最高,★会員側核心機能,
会員側機能【ユーザーサイト】,レッスン予約,予約処理,予約確認画面,予約内容・注意事項の確認,既存,最高,★会員側核心機能,
会員側機能【ユーザーサイト】,レッスン予約,予約処理,予約完了通知,予約完了画面・メール・LINE通知,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,レッスン予約,キャンセル,予約キャンセル,キャンセル申請・確認処理,既存,最高,★会員側核心機能,
会員側機能【ユーザーサイト】,レッスン予約,キャンセル,キャンセルポリシー表示,キャンセル期限・ペナルティの明示,既存,高,運用管理,
会員側機能【ユーザーサイト】,オンラインレッスン,オンライン予約,オンラインレッスン一覧,オンライン配信レッスンの検索・表示,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,オンラインレッスン,オンライン予約,視聴URL表示,Zoom・YouTube等の視聴URLへのアクセス,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,オンラインレッスン,オンライン予約,視聴環境テスト,事前の接続テスト機能,新規開発,中,UX向上,
会員側機能【ユーザーサイト】,イベント・ワークショップ,イベント参加,イベント一覧,開催予定のイベント・ワークショップ一覧,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,イベント・ワークショップ,イベント参加,イベント詳細・申込,イベント詳細情報の表示と申込処理,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,イベント・ワークショップ,イベント参加,参加履歴,過去のイベント参加履歴の表示,既存,中,履歴管理,
会員側機能【ユーザーサイト】,履歴管理,予約履歴,予約履歴一覧,現在の予約状況の一覧表示,既存,最高,★会員側核心機能,
会員側機能【ユーザーサイト】,履歴管理,予約履歴,キャンセル履歴一覧,過去のキャンセル履歴の表示,既存,中,履歴管理,
会員側機能【ユーザーサイト】,履歴管理,受講履歴,レッスン受講履歴,過去に受講したレッスンの履歴表示,既存,中,履歴管理,
会員側機能【ユーザーサイト】,履歴管理,受講履歴,出席率表示,自身の出席率の可視化,新規開発,中,モチベーション向上,
会員側機能【ユーザーサイト】,通知・お知らせ,お知らせ,お知らせ一覧,運営からのお知らせ・キャンペーン情報の一覧,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,通知・お知らせ,お知らせ,お知らせ詳細,個別のお知らせ内容の詳細表示,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,通知・お知らせ,お知らせ,通知設定,メール・LINE・プッシュ通知の受信設定,既存,中,UX向上,
会員側機能【ユーザーサイト】,ポイント・決済,Enポイント,ポイント残高表示,現在のポイント残高・有効期限の表示,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,ポイント・決済,Enポイント,ポイント獲得履歴,ポイント獲得の詳細履歴,既存,中,履歴管理,
会員側機能【ユーザーサイト】,ポイント・決済,Enポイント,ポイント利用履歴,ポイント利用の詳細履歴,既存,中,履歴管理,
会員側機能【ユーザーサイト】,ポイント・決済,Enポイント,ポイント購入,オンラインでのポイント購入処理,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,ポイント・決済,チケット,チケット残数表示,保有チケット枚数の表示,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,ポイント・決済,チケット,チケット購入,オンラインでのチケット購入処理,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,ポイント・決済,チケット,チケット購入履歴,過去のチケット購入履歴,既存,中,履歴管理,
会員側機能【ユーザーサイト】,ポイント・決済,月謝,月謝支払い履歴,月謝の支払い履歴・次回請求額の表示,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,ポイント・決済,月謝,支払い方法設定,クレジットカード・口座振替の登録・変更,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,ポイント・決済,購入履歴,商品購入履歴,グッズ・ドリンク等の購入履歴,既存,中,履歴管理,
会員側機能【ユーザーサイト】,ポイント・決済,購入履歴,レシート表示,電子レシートの表示・ダウンロード,既存,中,履歴管理,
会員側機能【ユーザーサイト】,友達紹介・シェア,友達紹介,紹介システム説明,友達紹介プログラムの説明・特典内容,既存,中,マーケティング,
会員側機能【ユーザーサイト】,友達紹介・シェア,友達紹介,紹介QRコード,個人専用の紹介QRコード表示,既存,中,マーケティング,
会員側機能【ユーザーサイト】,友達紹介・シェア,シェア,LINEシェア,LINEでのレッスン・イベント情報シェア,既存,中,マーケティング,
会員側機能【ユーザーサイト】,友達紹介・シェア,シェア,SNSシェア,X・Facebookでの情報シェア,既存,低,マーケティング,
会員側機能【ユーザーサイト】,設定,アカウント設定,メールアドレス変更,メールアドレスの変更・確認処理,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,設定,アカウント設定,パスワード変更,パスワードの変更処理,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,設定,アカウント設定,通知設定,各種通知のON/OFF設定,既存,中,UX向上,
会員側機能【ユーザーサイト】,設定,規約・ポリシー,利用規約表示,利用規約の閲覧,既存,高,法令対応,
会員側機能【ユーザーサイト】,設定,規約・ポリシー,プライバシーポリシー表示,プライバシーポリシーの閲覧,既存,高,法令対応,
会員側機能【ユーザーサイト】,設定,規約・ポリシー,特定商取引法表示,特定商取引法に基づく表記の閲覧,既存,高,法令対応,
会員側機能【ユーザーサイト】,設定,ログアウト,ログアウト,ログアウト確認・処理,既存,高,★会員側核心機能,
会員側機能【ユーザーサイト】,外部連携,外部サイト,レンタルスタジオ予約,外部サイトへのリンク（レンタルスタジオ予約）,既存,中,外部連携,
会員側機能【ユーザーサイト】,外部連携,外部サイト,ダンスキャンプ申込,外部サイトへのリンク（ダンスキャンプ）,既存,中,外部連携,
会員側機能【ユーザーサイト】,外部連携,外部サイト,オンラインストア,外部ECサイトへのリンク,既存,低,外部連携,
